Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22pF,C_0402,147.626847,-58.722753,-135.0,top
C2,22pF,C_0402,148.7932,-54.5084,135.0,top
C3,100nF,C_0402,151.026353,-51.614847,45.0,top
D1,D_Schottky,D_5W_P12.70mm_Horizontal,166.7256,-70.7136,180.0,top
D10,Yellow,D_0805,150.4188,-66.3448,0.0,top
D11,Yellow,D_0805,156.7688,-44.0944,-90.0,top
D12,Yellow,D_0805,158.9024,-44.0944,-90.0,top
D13,Red,D_0805,157.1244,-48.217201,-90.0,top
D14,Green,D_0805,137.3632,-81.3308,-90.0,top
D15,Green,D_0805,145.034,-81.3816,-90.0,top
D16,Green,D_0805,147.574,-81.3816,-90.0,top
D17,Green,D_0805,150.114,-81.3816,-90.0,top
D18,Green,D_0805,152.7048,-81.3816,-90.0,top
D19,Green,D_0805,160.3248,-81.3816,-90.0,top
D2,Green,D_0805,157.734,-81.3816,-90.0,top
D20,Green,D_0805,162.9156,-81.3816,-90.0,top
D21,Green,D_0805,165.354,-81.3816,-90.0,top
D22,Green,D_0805,172.974,-81.356001,-90.0,top
D23,Green,D_0805,175.514,-81.3816,-90.0,top
D24,Green,D_0805,178.054,-81.3816,-90.0,top
D25,Green,D_0805,180.594,-81.3816,-90.0,top
D3,Green,D_0805,130.2512,-81.3308,-90.0,top
D4,Green,D_0805,132.6896,-81.3308,-90.0,top
D5,Green,D_0805,135.0264,-81.3308,-90.0,top
D6,M7,D_SMA,165.1,-48.9204,0.0,top
D7,Green,D_0805,139.9032,-62.2808,180.0,top
D8,Green,D_0805,139.877999,-60.1472,180.0,top
D9,Yellow,D_0805,150.4188,-68.4784,0.0,top
J1,Conn_01x10_Socket,PinSocket_1x10_P2.54mm_Vertical,170.18,-85.979,-90.0,top
J10,Conn_02x07_Counter_Clockwise,IDC-Header_2x07_P2.54mm_Vertical,180.34,-46.228,0.0,top
J11,Conn_01x04_Pin,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,131.716,-67.564,-90.0,top
J12,Screw_Terminal_01x02,TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal,152.776,-117.0655,0.0,top
J13,Conn_01x04_Pin,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,180.34,-68.005,90.0,top
J14,Screw_Terminal_01x02,TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal,159.512,-117.094,0.0,top
J2,Conn_01x10_Socket,PinSocket_1x10_P2.54mm_Vertical,142.24,-111.252,-90.0,top
J3,Conn_01x10_Socket,PinSocket_1x10_P2.54mm_Vertical,170.18,-111.252,-90.0,top
J4,Conn_01x10_Socket,PinSocket_1x10_P2.54mm_Vertical,142.24,-85.979,-90.0,top
J5,Screw_Terminal_01x08,TerminalBlock_TE_282834-8_1x08_P2.54mm_Horizontal,138.557,-117.221,0.0,top
J6,Screw_Terminal_01x08,TerminalBlock_TE_282834-8_1x08_P2.54mm_Horizontal,173.736,-117.221,0.0,top
J7,Conn_02x03_Counter_Clockwise,PinSocket_2x03_P2.54mm_Vertical,155.5296,-68.4634,180.0,top
J8,Conn_01x04,PinSocket_1x04_P2.54mm_Vertical,155.5904,-74.6002,-90.0,top
J9,Conn_02x07_Counter_Clockwise,IDC-Header_2x07_P2.54mm_Vertical,131.826,-46.228,0.0,top
R1,510Ω,R_0402,130.7592,-83.566,180.0,top
R10,510Ω,R_0402,156.7688,-41.7068,0.0,top
R11,510Ω,R_0402,158.8516,-41.7068,180.0,top
R12,510Ω,R_0402,155.5496,-47.607601,-90.0,top
R13,510Ω,R_0402,150.622,-83.6168,180.0,top
R14,510Ω,R_0402,153.204799,-83.6676,180.0,top
R15,510Ω,R_0402,181.110001,-83.6168,180.0,top
R16,510Ω,R_0402,178.562,-83.6168,180.0,top
R17,510Ω,R_0402,176.013999,-83.6168,180.0,top
R18,510Ω,R_0402,173.482,-83.6676,180.0,top
R19,510Ω,R_0402,165.862,-83.6168,180.0,top
R2,510Ω,R_0402,133.189599,-83.566,180.0,top
R20,510Ω,R_0402,163.3728,-83.6168,180.0,top
R21,510Ω,R_0402,160.824799,-83.6168,180.0,top
R22,510Ω,R_0402,158.242,-83.6168,180.0,top
R23,2.4kΩ,R_0603,136.652,-61.8744,0.0,top
R24,1kΩ,R_0603,136.652,-60.452,0.0,top
R3,510Ω,R_0402,135.5344,-83.6168,180.0,top
R4,510Ω,R_0402,137.8712,-83.6168,180.0,top
R5,5.6kΩ,R_0603,161.8996,-51.3588,180.0,top
R6,510Ω,R_0402,145.542,-83.6168,180.0,top
R7,510Ω,R_0402,148.082,-83.6168,180.0,top
R8,510Ω,R_0402,148.082,-68.4784,90.0,top
R9,510Ω,R_0402,148.082,-66.3956,-90.0,top
S1,"Tactile Button, 160gf",SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,166.4716,-44.2468,0.0,top
U1,ATMEGA328P-AU,TQFP-32_L7.0-W7.0-P0.80-LS9.0-BL,155.6004,-57.092435,225.0,top
X1,X322516MOB4SI,CRYSTAL-SMD_4P-L3.2-W2.5-BL,146.584423,-56.395258,-135.0,top
