Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R1,7.5kΩ,R_0603,151.88,-106.25,0.0,top
R10,5.1kΩ,R_0603,155.53,-113.0,0.0,top
R11,5.1kΩ,R_0603,155.53,-115.25,0.0,top
R12,5.1kΩ,R_0603,155.53,-117.5,0.0,top
R13,5.1kΩ,R_0603,159.18,-106.25,0.0,top
R14,5.1kΩ,R_0603,159.18,-108.5,0.0,top
R15,5.1kΩ,R_0603,159.18,-110.75,0.0,top
R16,5.1kΩ,R_0603,159.18,-113.0,0.0,top
R2,7.5kΩ,R_0603,151.88,-108.5,0.0,top
R3,7.5kΩ,R_0603,151.88,-110.75,0.0,top
R4,7.5kΩ,R_0603,151.88,-113.0,0.0,top
R5,7.5kΩ,R_0603,151.88,-115.25,0.0,top
R6,7.5kΩ,R_0603,151.88,-117.5,0.0,top
R7,7.5kΩ,R_0603,155.53,-106.25,0.0,top
R8,7.5kΩ,R_0603,155.53,-108.5,0.0,top
R9,5.1kΩ,R_0603,155.53,-110.75,0.0,top
